job title,job_type,company,location,Experience Needed:,Career Level:,Education Level:,Salary:,Job Categories:,skills and tools,Job
Chat-bot Developer,Full Time,Hakaya,"Riyadh, Saudi Arabia",'2 to 5 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'IT/Software Development', 'Engineering - Telecom/Technology'","'AI', 'Python', 'Software Development', 'Software Engineering', 'chatbot', 'NLTK', 'Computer Science', 'Information Technology (IT)', 'REST', 'JSON', 'English'",AI Engineer
chat-bot Developer - India,Full Time,Hakaya,"New Delhi, India",'2 to 5 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'IT/Software Development', 'Engineering - Telecom/Technology'","'AI', 'Python', 'Software Development', 'chatbot', 'Computer Science', 'Information Technology (IT)', 'REST', 'English'",AI Engineer
Cloud Security Engineer,Full Time,Softec Technologies,"Cairo, Egypt",'More than 5 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'IT/Software Development', 'Engineering - Telecom/Technology'","'Computer Engineering', 'Python', 'Security', 'Software', 'Software Development', 'Linux', 'Azure', 'Engineering', 'Cloud', 'Computer Science', 'Information Technology (IT)'",AI Engineer
C++ Software Engineer,Full Time,Atomica,"Cairo, Egypt",'More than 1 year','Entry Level (Junior Level / Fresh Grad)',"""Bachelor's Degree""",'Confidential',"'IT/Software Development', 'Engineering - Telecom/Technology'","'Information Technology (IT)', 'Git', 'Qt', 'APIs', 'C', 'CUDA', 'Software Development', 'Software Engineering', 'qml', 'Programming', 'Computer Science', 'Software engineer', 'GPU Programming', 'Mathematics', 'Algorithms', 'C++'",AI Engineer
Data Scientist/ML Engineer,Full Time,TMentors,"Maadi, Cairo",'1 to 3 years','Entry Level (Junior Level / Fresh Grad)',"""Bachelor's Degree""",'10000 to 12000 EGP Per Month',"'IT/Software Development', 'Engineering - Telecom/Technology'","'Python', 'Research', 'Data Science', 'Statistics', 'SQL', 'ETL', 'Mathematics', 'Machine Learning', 'Software Engineering', 'Cloud', 'Computer Science', 'Deep Learning', 'Science', 'Engineering', 'Artificial Intelligence (AI)', 'Deep Learning Framework', 'Hadoop', 'Data Wrangling', 'Deep Neural Network (DNN)', 'Information Technology (IT)', 'mathematical'",AI Engineer
Senior Machine Learning Engineer - Giza,Full Time,AFKAR Technology,"Giza, Egypt",'More than 3 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'IT/Software Development', 'Engineering - Telecom/Technology'","'Training', 'Machine Learning', 'Python', 'TensorFlow', 'Statistics', 'SQL', 'NLP', 'Programming', 'Computer Science', 'Information Technology (IT)', 'Computer Vision'",AI Engineer
Outdoor Technical Sales Engineer,Full Time,ManEx Systems,"6th of October, Giza",'1 to 3 years','Entry Level (Junior Level / Fresh Grad)',"""Bachelor's Degree""","'Confidential, Commission, Transportation and Bonus are included'","'Engineering - Mechanical/Electrical', 'Sales/Retail'","'Sales Engineering', 'Sales', 'Outdoor Sales', 'Mechatronics', 'Electrical', 'Technical Sales'",AI Engineer
Junior Backend Engineer,Full Time,LxT,"Mohandessin, Giza",'0 to 2 years','Entry Level (Junior Level / Fresh Grad)',"""Bachelor's Degree""",'Confidential',"'IT/Software Development', 'Engineering - Telecom/Technology'","'Flask', 'Django', 'Python', 'Amazon Web Services', 'NoSQL', 'Agile', 'GCP', 'Software Engineering', 'Containerization', 'Programming', 'Azure'",AI Engineer
C++ Software Engineer - Computer Vision,Internship,360Imaging,"Dokki, Giza",'0 to 1 year','Entry Level (Junior Level / Fresh Grad)',"""Bachelor's Degree""",'paid',"'IT/Software Development', 'Engineering - Telecom/Technology'","'Image Processing', 'Computer Engineering', 'Git', 'C', 'CUDA', 'Linear Algebra', 'Software Development', 'hpc', 'Software Engineering', 'Matlab', 'Artificial Intelligence (AI)', 'Computer Science', 'Information Technology (IT)', 'Computer Vision', 'Mathematics', 'C++'",AI Engineer
C++ Computer Graphics Engineer,Full Time,Atomica,"Cairo, Egypt",'More than 1 year','Entry Level (Junior Level / Fresh Grad)',"""Bachelor's Degree""",'Confidential',"'IT/Software Development', 'Engineering - Telecom/Technology', 'Creative/Design/Art'","'HLSL', 'GLSL', 'CUDA', 'Software Development', 'vulkan', 'Mathematics', 'Algorithms', 'directx', 'Computer Science', 'Computer Engineering', 'Git', 'APIs', 'OpenCL', 'OpenGL', 'DirectX11', 'Engineering', 'Programming', 'GPU Programming', 'C++', 'C', 'API', 'Information Technology (IT)'",AI Engineer
Backend Senior Software Engineer,Full Time,Gemssy Technologies S.L.,"Bilbao, Spain",'5 to 20 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'35000 to 70000 EUR Per Year',"'IT/Software Development', 'Engineering - Telecom/Technology'","'NodeJS', 'Integration', 'Ruby on Rails', 'Node.js', 'Agile', 'Software', 'English', 'Software Development', 'Software Engineering', 'Computer Science', 'Information Technology (IT)', 'Back-End Development', 'Web Applications'",AI Engineer
C++ Software Engineering Intern,Internship,Atomica,"Cairo, Egypt",'0 to 1 year','Entry Level (Junior Level / Fresh Grad)',"""Bachelor's Degree""",'paid',"'IT/Software Development', 'Engineering - Telecom/Technology'","'Image Processing', 'CUDA', 'Linear Algebra', 'Software Development', 'vulkan', 'Mathematics', 'Algorithms', 'Computational Geometry', 'Software Engineering', 'qml', 'Computer Science', 'Git', 'Qt', 'APIs', 'OpenGL', 'Algorithm Development', 'Programming', 'GPU Programming', 'C++', 'C', 'API', 'Information Technology (IT)'",AI Engineer
Robotics Engineer Instructor (For Kids),Full Time,Edu-Zone,"New Cairo, Cairo",'0 to 3 years','Entry Level (Junior Level / Fresh Grad)',"""Bachelor's Degree""",'4000 to 5000 EGP Per Month',"'Training/Instructor', 'IT/Software Development', 'Engineering - Telecom/Technology'","'Computer Skills', 'STEAM', 'English', 'Mechatronics Engineering', 'Electronics Engineering', 'Art', 'Education', 'Robotics', 'Mechatronics', 'Physics', 'Biology', 'Science', 'Network Security', 'Engineering', 'Communication Engineering', 'Programming', 'Communications Engineering', 'Mechanical Engineering', 'Kids Teaching', 'Teaching', 'Arduino', 'Astronomy'",AI Engineer
Computer Vision Engineer,Full Time,Atomica,"Cairo, Egypt",'1 to 10 years','Entry Level (Junior Level / Fresh Grad)',"""Bachelor's Degree""",'Confidential',"'IT/Software Development', 'Engineering - Telecom/Technology'","'Image Processing', 'Python', 'Research', 'CUDA', 'Linear Algebra', 'Software Development', 'Mathematics', 'PyTorch', 'GPU computing', 'Software Engineering', 'Computational Geometry', 'Cloud', 'Computer Science', 'Deep Learning', 'Computer Engineering', 'Git', 'Science', 'computer', 'Engineering', 'Computer Vision', 'Deep Learning Framework', 'C++', 'Frameworks', 'TensorFlow', 'Information Technology (IT)'",AI Engineer
Software Automation Test Engineer,Full Time,Atomica,"Cairo, Egypt",'More than 2 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Quality', 'IT/Software Development', 'Engineering - Telecom/Technology'","'API', 'Software', 'Software Development', 'Automation', 'Software Testing', 'Engineering', 'Testing', 'Programming', 'Computer Science', 'Information Technology (IT)', 'test automation', 'ISTQB'",AI Engineer
Azure Devops Engineer (Project Based),Freelance / Project,skora tech,"Cairo, Egypt",'More than 4 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'IT/Software Development', 'Engineering - Telecom/Technology'","'Microservices', 'Software Development', 'Spring Boot', 'Jenkins', 'React', 'Deployment', 'Microsoft Azure', 'Docker', 'Cloud', 'Computer Science', 'Information Technology (IT)', 'Git', 'Kubernetes', 'JSON', 'DevOps', 'Cloud Computing', 'piplens', 'Azure DevOps Server', 'Software Deployment', 'Azure'",AI Engineer
Azure Devops Engineer,Full Time,skora tech,"Cairo, Egypt",'More than 4 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'IT/Software Development', 'Engineering - Telecom/Technology'","'Microservices', 'Software Development', 'Spring Boot', 'Jenkins', 'React', 'Deployment', 'Microsoft Azure', 'Docker', 'Cloud', 'Computer Science', 'Information Technology (IT)', 'Git', 'Kubernetes', 'JSON', 'DevOps', 'Cloud Computing', 'piplens', 'Azure DevOps Server', 'Software Deployment', 'Azure'",AI Engineer
C++ Software Engineer (Automotive Industry),Full Time,Confidential Company - ,"Cairo, Egypt",'3 to 5 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'30000 to 35000 EGP Per Month',"'IT/Software Development', 'Engineering - Telecom/Technology'","'Communication skills', 'Python', 'Software', 'Software Development', 'Software Engineering', 'Computer Science', 'Information Technology (IT)', 'OOP', 'C++'",AI Engineer
Engineering /Robotics/Coding Facilitator (For Kids),Full Time,Edu-Zone,"New Cairo, Cairo",'0 to 3 years','Entry Level (Junior Level / Fresh Grad)',"""Bachelor's Degree""",'4000 to 5000 EGP Per Month',"'Training/Instructor', 'IT/Software Development', 'Engineering - Telecom/Technology'","'Art', 'Science', 'Education', 'English', 'Robotics', 'Teaching', 'Engineering', 'Physics', 'Computer Skills', 'Biology', 'STEAM', 'Astronomy'",AI Engineer
Web Development Team Lead,Full Time,Trufla,"Heliopolis, Cairo",'More than 5 years','Manager ',"""Bachelor's Degree""",'Confidential',"'IT/Software Development', 'Engineering - Telecom/Technology'","'SEO', 'NPM', 'Software', 'InVision', 'Software Development', 'Gulp', 'laravel', 'Photshop', 'CMS', 'GIT', 'PHP', 'Wordpress', 'Angular', 'Agile', 'Web Development', 'Grunt', 'Software Engineering', 'jira', 'Docker', 'Computer Science', 'HTML5', 'drupal', 'Bootstrap', 'CSS3', 'javaScript', 'Sass', 'confluence', 'Figma', 'Information Technology (IT)'",AI Engineer
HR Manager - Tech,Full Time,Atomica,"Cairo, Egypt",'More than 8 years','Manager ',"""Bachelor's Degree""",'Confidential','Human Resources',"'Interviewing', 'Human', 'HR', 'Hiring', 'Screening', 'SHRM', 'SPHR', 'Personnel', 'Human Resources (HR)', 'Operations', 'Microsoft Office', 'Startup', 'Recruiting', 'Recruitment'",AI Engineer
Senior Vue.js Developer,Full Time,Evolvice GmbH,"Maadi, Cairo",'6 to 15 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'IT/Software Development', 'Engineering - Telecom/Technology'","'Vue', 'Vue.js', 'Angular', 'Agile', 'Node.js', 'Software Development', 'Sass', 'Less', 'CSS', 'JavaScript', 'Computer Science', 'Java', 'Information Technology (IT)'",AI Engineer
Staff Data Scientist,Full Time,Nana,"Sheraton, Cairo",'5 to 8 years','Experienced (Non-Manager)','Not Specified','Confidential',"'Analyst/Research', 'IT/Software Development', 'Engineering - Telecom/Technology'","'Machine Learning', 'data scientist', 'Development', 'Data', 'Software Development', 'Software Engineering', 'Computer Science', 'Information Technology (IT)'",AI Engineer
Senior Data Scientist,Full Time,Confidential Company - ,"Maadi, Cairo",'3 to 7 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Analyst/Research', 'IT/Software Development', 'Engineering - Telecom/Technology'","'Analytics', 'Software Engineering', 'Data', 'Information Technology (IT)'",AI Engineer
Odoo Developer,Full Time,beetleware,"Sheraton, Cairo",'2 to 4 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'IT/Software Development', 'Engineering - Telecom/Technology'","'Python', 'Framework', 'Odoo', 'PostgreSQL', 'Github', 'Programming', 'Computer Science', 'Information Technology (IT)', 'English'",AI Engineer
Technical Recruiter,Full Time,Atomica,"Cairo, Egypt",'More than 2 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential','Human Resources',"'Interviewing', 'Hiring', 'Screening', 'Human Resources (HR)', 'Recruiting', 'Recruitment'",AI Engineer
Data Analyst Intern,Internship,TMentors,"Maadi, Cairo",'Not Specified','Entry Level (Junior Level / Fresh Grad)',"""Bachelor's Degree""",'3000 to 5000 EGP Per Month',"'Analyst/Research', 'IT/Software Development', 'Engineering - Telecom/Technology'","'Business Intelligence', 'Analysis', 'Data Science', 'Data Analysis', 'SQL', 'Powerbi', 'ETL', 'Computer Science', 'Information Technology (IT)'",AI Engineer
Senior Data Scientist,Full Time,Nana,"Sheraton, Cairo",'3 to 6 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Analyst/Research', 'IT/Software Development', 'Engineering - Telecom/Technology'","'R', 'Machine Learning', 'data scientist', 'Python', 'Software Development', 'Cloud', 'Computer Science', 'Information Technology (IT)', 'Mathematics'",AI Engineer
Testing Team Leader,Full Time,Atomica,"Cairo, Egypt",'More than 5 years','Manager ',"""Bachelor's Degree""",'Confidential',"'Quality', 'IT/Software Development', 'Engineering - Telecom/Technology'","'Python', 'team leader', 'Software', 'Software Development', 'Software Testing', 'Software Quality', 'User Testing', 'Agile', 'Computer Science', 'Automation Testing', 'Python Scripting', 'Quality Assurance', 'Quality Control', 'Design', 'ISTQB', 'Software Quality Assurance (SQA)', 'Testing', 'Information Technology (IT)', 'Software Testing Life Cycle', 'Quality Management System'",AI Engineer
Senior Solution Architect,Full Time,ITS ,"Cairo, Egypt",'12 to 15 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'30000 to 45000 EGP Per Month',"'Banking', 'IT/Software Development', 'Engineering - Telecom/Technology'","'Communication skills', 'Architecture', 'Banking', 'Solution Architecture', 'Information Technology (IT)'",AI Engineer
Product Owner,Full Time,LxT,"Mohandessin, Giza",'5 to 7 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'IT/Software Development', 'Engineering - Telecom/Technology', 'Project/Program Management'","'Communication skills', 'Product Management', 'Project Management', 'Agile', 'Software Development', 'Information Technology (IT)'",AI Engineer
Senior Full Stack Developer,Full Time,Trufla,"Heliopolis, Cairo",'5 to 7 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'IT/Software Development', 'Engineering - Telecom/Technology'","'InVision', 'Software Development', 'CMS', 'PHP', 'Angular', 'Web Development', 'Agile', 'WordPress', 'Linux', 'Computer Science', 'HTML5', 'Git', 'Bootstrap', 'JavaScript', 'CSS3', 'Sketch', 'Laravel', 'Figma', 'Information Technology (IT)'",AI Engineer
Machine Learning Operations Engineer,Full Time,Tahaluf Al Emarat Technical Solutions,"Cairo, Egypt",'More than 3 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'IT/Software Development', 'Engineering - Telecom/Technology'","'Computer Science', 'Machine Learning', 'Python', 'TensorFlow', 'Software Engineering', 'Engineering', 'Design', 'Information Technology (IT)', 'Computer Vision', 'C++'",AI Engineer
Big Data Consultant,Full Time,Fingerprint consultancy,"Cairo, Egypt",'More than 3 years','Experienced (Non-Manager)',"""Bachelor's Degree""","'Confidential, Social Insurance / Medical Insurance'","'Engineering - Other', 'IT/Software Development', 'Engineering - Telecom/Technology'","'Computer Engineering', 'Python', 'NoSQL', 'Apache Spark', 'Java', 'Big Data', 'Spark', 'ETL', 'Engineering', 'Programming', 'Computer Science', 'Information Technology (IT)', 'Hive', 'Hadoop'",AI Engineer
Senior Machine Learning Engineer,Full Time,Confidential Company - ,"Maadi, Cairo",'3 to 5 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'IT/Software Development', 'Engineering - Telecom/Technology'","'Machine Learning', 'Software Engineering', 'Computer Science', 'Data', 'Deep Learning', 'Information Technology (IT)'",AI Engineer
Graduate Research Intern,Internship,360Imaging,"Dokki, Giza",'0 to 1 year','Student (Undergrad / Postgrad)',"""Bachelor's Degree""",'paid',"'IT/Software Development', 'Engineering - Telecom/Technology'","'Image Processing', 'PyTorch', 'E-Marketing', 'Machine Learning', 'Research', 'C', 'Linear Algebra', 'Computational Geometry', '3D Rendering', 'Market Research', 'Artificial Intelligence (AI)', 'Computer Science', 'Computer Vision', 'Computer Graphics', 'C++'",AI Engineer
Senior Software Team Leader (.Net),Full Time,Confidential Company - ,"Maadi, Cairo",'5 to 10 years','Manager ',"""Bachelor's Degree""","'Confidential, The Salary Includes Allowance For Accommodation, Transportation, Dinning, Calls & Average Overtime.'","'IT/Software Development', 'Engineering - Telecom/Technology'","'.Net', 'Software', 'Software Development', 'MySQL', 'SQL Server', 'Entity Framework', 'English', 'Software Engineering', 'Graph DB', 'Computer Science', 'MVC', 'IT', 'Computer Engineering', 'ios', 'TFS', 'Engineering', 'Android', '.Net Core', 'Planning', 'MS Project', 'Information Technology (IT)', 'C#'",AI Engineer
C++ Instructor,Full Time,Atomica,"Cairo, Egypt",'More than 1 year','Entry Level (Junior Level / Fresh Grad)',"""Bachelor's Degree""",'Confidential',"'IT/Software Development', 'Engineering - Telecom/Technology'","'Training', 'Information Technology (IT)', 'Git', 'Qt', 'C', 'CUDA', 'Software Development', 'Software Engineering', 'Engineering', 'qml', 'Programming', 'Computer Science', 'Software engineer', 'GPU Programming', 'Mathematics', 'Algorithms', 'C++'",AI Engineer
Power Platform Developer,Full Time,Confidential Company - ,"Cairo, Egypt",'More than 3 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'13000 to 18000 EGP Per Month',"'IT/Software Development', 'Engineering - Telecom/Technology'","'Communication skills', 'Software Development', 'Software Engineering', 'Computer Science', 'Information Technology (IT)', 'English'",AI Engineer
Computer Science Instructor (For Kids),Full Time,Edu-Zone,"New Cairo, Cairo",'0 to 3 years','Entry Level (Junior Level / Fresh Grad)',"""Bachelor's Degree""",'Confidential',"'Training/Instructor', 'IT/Software Development', 'Engineering - Telecom/Technology'","'Computer Programs', 'Computer Skills', 'STEAM', 'English', 'Mechatronics Engineering', 'Art', 'Android Programming', 'Education', 'Programming Language', 'Robotics', 'Mechatronics', 'Mechanical Design', 'Computer Science', 'Physics', 'Biology', 'Computer Engineering', 'Science', 'Engineering', 'Communication Engineering', 'STEM', 'Training', 'Communications Engineering', 'Mechanical Engineering', 'Kids Teaching', 'Teaching', 'Astronomy'",AI Engineer
Full Stack Technical Lead,Full Time,RDI,"Dokki, Giza",'More than 8 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'IT/Software Development', 'Engineering - Telecom/Technology'","'Flask', 'Django', 'Python', 'Angular', 'Full Stack Development', 'JavaScript', 'Spring Boot'",AI Engineer
C++ Developer (QT QML),Full Time,Atomica,"Cairo, Egypt",'More than 1 year','Entry Level (Junior Level / Fresh Grad)',"""Bachelor's Degree""",'Confidential',"'IT/Software Development', 'Engineering - Telecom/Technology'","'Computer Engineering', 'Qt', 'QML', 'Software Development', 'Engineering', 'computer', 'Q5', 'Programming', 'Computer Science', 'Information Technology (IT)', 'Qt5', 'Algorithms', 'C++'",AI Engineer
Senior C++ Software Developer (Automotive),Full Time,Confidential Company - ,"Cairo, Egypt",'5 to 10 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'IT/Software Development', 'Engineering - Telecom/Technology'","'Python', 'programming', 'Software', 'English', 'Software Development', 'Software Engineering', 'Computer Science', 'Information Technology (IT)', 'OOP', 'C++'",AI Engineer
Product Designer - UI/UX,Full Time,Atomica,"Cairo, Egypt",'More than 5 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'IT/Software Development', 'Engineering - Telecom/Technology', 'Creative/Design/Art'","'Design', 'Prototyping', 'Mobile', 'Research', 'Science', 'UX', 'Product', 'Engineering', 'Testing', 'Computer Science', 'Information Technology (IT)', 'Product Design'",AI Engineer
Senior Business Analyst,Full Time,GS1,"Heliopolis, Cairo",'More than 4 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Analyst/Research', 'IT/Software Development', 'Engineering - Telecom/Technology'","'Business Analysis', 'Design', 'Business Development', 'Software', 'Programming', 'Computer Science', 'Information Technology (IT)'",AI Engineer
Tech Manager,Freelance / Project,NaTakallam,"Beirut, Lebanon",'5 to 10 years','Manager ',"""Bachelor's Degree""","'1500 to 2500 EUR Per Month, Independent Contractor'","'IT/Software Development', 'Engineering - Telecom/Technology'","'Product Management', 'Project Management', 'Back End', 'mSQL', 'WordPress', 'Software Development', 'Front End', 'Computer Science', 'Information Technology (IT)', 'Amelia Plugin', 'Management'",AI Engineer
Computer Vision Tech Lead,Full Time,Beyond Apps Group,"Nasr City, Cairo",'4 to 10 years','Experienced (Non-Manager)','Not Specified','Confidential',"'IT/Software Development', 'Engineering - Telecom/Technology'","'Computer Science', 'Information Technology (IT)', 'Software', 'Software Development'",AI Engineer
NLP Engineer,Full Time,Tahaluf Al Emarat Technical Solutions,"Cairo, Egypt",'More than 2 years','Experienced (Non-Manager)',"""Bachelor's Degree""","'Confidential, Working remotely with us'","'IT/Software Development', 'Engineering - Telecom/Technology'","'Machine Learning', 'Python', 'Data Science', 'NLP', 'TensorFlow', 'NumPy', 'ML'",ML Engineer
